Symbol	cellType	Source
FGFBP2	hNK_Sp1	Crinier_TableS3
GZMB	hNK_Sp1	Crinier_TableS3
CST7	hNK_Sp1	Crinier_TableS3
FCGR3A	hNK_Sp1	Crinier_TableS3
SPON2	hNK_Sp1	Crinier_TableS3
MYOM2	hNK_Sp1	Crinier_TableS3
GNLY	hNK_Sp1	Crinier_TableS3
S100A4	hNK_Sp1	Crinier_TableS3
CYBA	hNK_Sp1	Crinier_TableS3
PRF1	hNK_Sp1	Crinier_TableS3
LAIR2	hNK_Sp1	Crinier_TableS3
HOPX	hNK_Sp1	Crinier_TableS3
ARL4C	hNK_Sp1	Crinier_TableS3
GTF3C1	hNK_Sp1	Crinier_TableS3
PTGDS	hNK_Sp1	Crinier_TableS3
ZEB2	hNK_Sp1	Crinier_TableS3
CD99	hNK_Sp1	Crinier_TableS3
IGFBP7	hNK_Sp1	Crinier_TableS3
CCL4	hNK_Sp1	Crinier_TableS3
GZMH	hNK_Sp1	Crinier_TableS3
ANXA1	hNK_Sp1	Crinier_TableS3
AKR1C3	hNK_Sp1	Crinier_TableS3
GNG2	hNK_Sp1	Crinier_TableS3
SYNE2	hNK_Sp1	Crinier_TableS3
CCL3	hNK_Sp1	Crinier_TableS3
PLAC8	hNK_Sp1	Crinier_TableS3
LGALS1	hNK_Sp1	Crinier_TableS3
CD247	hNK_Sp1	Crinier_TableS3
ITGB2	hNK_Sp1	Crinier_TableS3
S100A6	hNK_Sp1	Crinier_TableS3
S1PR5	hNK_Sp1	Crinier_TableS3
IFNG	hNK_Sp1	Crinier_TableS3
SORL1	hNK_Sp1	Crinier_TableS3
STK4	hNK_Sp1	Crinier_TableS3
PRSS23	hNK_Sp1	Crinier_TableS3
GZMA	hNK_Sp1	Crinier_TableS3
EMP3	hNK_Sp1	Crinier_TableS3
BHLHE40	hNK_Sp1	Crinier_TableS3
CLIC3	hNK_Sp1	Crinier_TableS3
C12orf75	hNK_Sp1	Crinier_TableS3
FLNA	hNK_Sp1	Crinier_TableS3
MTSS1	hNK_Sp1	Crinier_TableS3
PIM1	hNK_Sp1	Crinier_TableS3
CARD16	hNK_Sp1	Crinier_TableS3
HAVCR2	hNK_Sp1	Crinier_TableS3
RGS2	hNK_Sp1	Crinier_TableS3
GNPTAB	hNK_Sp1	Crinier_TableS3
LYAR	hNK_Sp1	Crinier_TableS3
CAPN2	hNK_Sp1	Crinier_TableS3
PTGER4	hNK_Sp1	Crinier_TableS3
LITAF	hNK_Sp1	Crinier_TableS3
PPP2R5C	hNK_Sp1	Crinier_TableS3
ANKRD20A4	hNK_Sp1	Crinier_TableS3
CREM	hNK_Sp1	Crinier_TableS3
RAMP1	hNK_Sp1	Crinier_TableS3
CCL4L2	hNK_Sp1	Crinier_TableS3
C1orf21	hNK_Sp1	Crinier_TableS3
MYO1F	hNK_Sp1	Crinier_TableS3
PMAIP1	hNK_Sp1	Crinier_TableS3
DDIT3	hNK_Sp1	Crinier_TableS3
CEP78	hNK_Sp1	Crinier_TableS3
