Symbol	CellType	Source	index	duplicated	prior
ABCB4	B_cells_naive	LM22	1	0	1
ABCB9	Plasma_cells	LM22	123	0	1
ABI3BP	CAFs	Tirosh	1453	0	1
ACAA1	Tregs	Tirosh	1589	0	1
ACAP1	CD4_naive_Tcells	LM22	240	0	1
ACHE	Macrophages_M1	LM22	776	0	1
ACP5	DC_resting	LM22	861	1	0
ACP5	Macrophages_M0	LM22	743	2	0
ACP5	Tregs	Tirosh	1508	1	0
ACSL1	Endothelial_cells	Tirosh	1301	0	1
ACTA2	CAFs	Tirosh	1450	1	1
ACTA2	Endothelial_cells	Bin	1772	1	0
ACTN4	Tregs	Tirosh	1541	0	1
ACTR1A	Tregs	Tirosh	1703	0	1
ADAM15	Endothelial_cells	Tirosh	1394	0	1
ADAM28	B_cells_memory	LM22	61	1	1
ADAM28	B_cells_naive	LM22	2	1	1
ADAM33	CAFs	Tirosh	1432	0	1
ADAMDEC1	Macrophages_M0	LM22	744	1	1
ADAMDEC1	Macrophages_M1	LM22	777	2	1
ADAMDEC1	Macrophages_M2	LM22	824	1	1
ADAMTS2	CAFs	Tirosh	1468	0	1
ADAMTS3	Blast_cells_rest	LM22	954	0	1
ADAP2	Macrophages	Tirosh	1262	0	1
ADCY4	Endothelial_cells	Tirosh	1355	0	1
ADORA2A	Tregs	Tirosh	1679	0	1
ADRB2	Blast_cells_rest	LM22	955	0	1
AFAP1L1	Endothelial_cells	Tirosh	1349	0	1
AFF3	Bcells	Tirosh	1197	0	1
AGER	Lung_specific	Protein_atlas	1778	0	1
AGTRAP	Tregs	Tirosh	1643	0	1
AIF1	DC_resting	LM22	862	1	0
AIF1	Macrophages	Tirosh	1236	2	0
AIF1	Macrophages_M2	LM22	825	2	0
AIF1	Monocytes	LM22	691	2	0
AIF1	Neutrophils	LM22	1081	1	0
AIM2	B_cells_memory	LM22	62	0	1
ALOX15	DC_resting	LM22	863	1	0
ALOX15	Eosinophils	LM22	1030	2	0
ALOX15	Macrophages_M2	LM22	826	1	0
ALOX5	B_cells_memory	LM22	63	0	1
AMOTL2	CAFs	Tirosh	1479	0	1
AMPD1	Plasma_cells	LM22	124	0	1
ANGPT2	Endothelial_cells	Tirosh	1351	0	1
ANGPT4	Plasma_cells	LM22	125	0	1
ANKRD10	Tregs	Tirosh	1542	0	1
ANKRD55	CD4_naive_Tcells	LM22	241	0	1
