Symbol	cellType
ASPN	ecm_myCAF
COL3A1	ecm_myCAF
THY1	ecm_myCAF
SFRP2	ecm_myCAF
COL10A1	ecm_myCAF
COL6A3	ecm_myCAF
LRRC17	ecm_myCAF
CILP	ecm_myCAF
GRP	ecm_myCAF
ITGBL1	ecm_myCAF
COL8A1	ecm_myCAF
COL14A1	ecm_myCAF
ADAM12	ecm_myCAF
OLFML2B	ecm_myCAF
ELN	ecm_myCAF
PLPP4	ecm_myCAF
CREB3L1	ecm_myCAF
FBN1	ecm_myCAF
LOXL1	ecm_myCAF
MATN3	ecm_myCAF
LRRC15	ecm_myCAF
COMP	ecm_myCAF
ISLR	ecm_myCAF
P3H1	ecm_myCAF
COL11A1	ecm_myCAF
SEPT11	ecm_myCAF
NBL1	ecm_myCAF
SPON1	ecm_myCAF
SULF1	ecm_myCAF
FNDC1	ecm_myCAF
CNN1	ecm_myCAF
MIAT	ecm_myCAF
MMP23B	ecm_myCAF
CPXM1	ecm_myCAF
FIBIN	ecm_myCAF
P4HA3	ecm_myCAF
GXYLT2	ecm_myCAF
CILP2	ecm_myCAF
P3H4	ecm_myCAF
CCDC80	ecm_myCAF
ADH1B	detox_iCAF
C7	detox_iCAF
CXCL12	detox_iCAF
TNXB	detox_iCAF
RSPO3	detox_iCAF
DCN	detox_iCAF
C16orf89	detox_iCAF
GDF10	detox_iCAF
PAMR1	detox_iCAF
FXYD1	detox_iCAF
ZBTB16	detox_iCAF
SLIT3	detox_iCAF
HSPB6	detox_iCAF
IL6	detox_iCAF
FBLN5	detox_iCAF
OGN	detox_iCAF
PLA2G2A	detox_iCAF
CHRDL1	detox_iCAF
CYGB	detox_iCAF
FGF7	detox_iCAF
PI16	detox_iCAF
PLAC9	detox_iCAF
WISP2	detox_iCAF
PTX3	detox_iCAF
CCL2	detox_iCAF
CXCL3	detox_iCAF
ITM2A	IL_iCAF
CXCL12	IL_iCAF
FIGF	IL_iCAF
FXYD1	IL_iCAF
PLPP3	IL_iCAF
TNFRSF10D	IL_iCAF
CTB-92J24.3	IL_iCAF
LAMC3	IL_iCAF
C7	IL_iCAF
ZBTB16	IL_iCAF
CAPN6	IL_iCAF
SCARA5	IL_iCAF
DLK1	IL_iCAF
MEG3	IL_iCAF
TAC1	IL_iCAF
THUMPD3-AS1	IL_iCAF
GMFG	IL_iCAF
CYGB	IL_iCAF
CCL8	IL_iCAF
VCAM1	IL_iCAF
FMO2	IL_iCAF
FBLN5	IL_iCAF
COLEC12	IL_iCAF
PDGFD	IL_iCAF
GADD45G	IL_iCAF
SNAI1	IL_iCAF
LSP1	IL_iCAF
CCL2	IL_iCAF
IL6	IL_iCAF
PTGS2	IL_iCAF
NR2F1	IL_iCAF
F10	IL_iCAF
CEBPA	IL_iCAF
KDM6B	IL_iCAF
PID1	IL_iCAF
CST1	TGFbeta_myCAF
LAMP5	TGFbeta_myCAF
LOXL1	TGFbeta_myCAF
EDNRA	TGFbeta_myCAF
TGFB1	TGFbeta_myCAF
TGFB3	TGFbeta_myCAF
TNN	TGFbeta_myCAF
CST2	TGFbeta_myCAF
