Symbol	cellType	Source
ATP8A2	CoreILC	TableS6
CDON	CoreILC	TableS6
CKB	CoreILC	TableS6
CXCR6	CoreILC	TableS6
IL2RA	CoreILC	TableS6
IL7R	CoreILC	TableS6
PODNL1	CoreILC	TableS6
SLC27A6	CoreILC	TableS6
SOCS2	CoreILC	TableS6
ST6GALNAC3	CoreILC	TableS6
TMEM154	CoreILC	TableS6
TMEM176A	CoreILC	TableS6
TMEM176B	CoreILC	TableS6
CAR5B	CoreNK	TableS6
CMKLR1	CoreNK	TableS6
CYM	CoreNK	TableS6
EOMES	CoreNK	TableS6
IRF8	CoreNK	TableS6
ITGAM	CoreNK	TableS6
KHDC1A	CoreNK	TableS6
KLRA1	CoreNK	TableS6
KLRA10	CoreNK	TableS6
KLRA3	CoreNK	TableS6
KLRA9	CoreNK	TableS6
KLRG1	CoreNK	TableS6
SERPINB9B	CoreNK	TableS6
ZEB2	CoreNK	TableS6
ADAMTS14	ILC1up	TableS2
BAIAP2	ILC1up	TableS2
BAIAP3	ILC1up	TableS2
BCL2L11	ILC1up	TableS2
CCL3	ILC1up	TableS2
CCL4	ILC1up	TableS2
CCL5	ILC1up	TableS2
CCR5	ILC1up	TableS2
CD2	ILC1up	TableS2
CD28	ILC1up	TableS2
CDH1	ILC1up	TableS2
CHSY1	ILC1up	TableS2
CPNE7	ILC1up	TableS2
CST7	ILC1up	TableS2
DENND4A	ILC1up	TableS2
ENTPD1	ILC1up	TableS2
EOMES	ILC1up	TableS2
GAS7	ILC1up	TableS2
GLP1R	ILC1up	TableS2
GPC1	ILC1up	TableS2
GPR174	ILC1up	TableS2
GPR18	ILC1up	TableS2
GPR55	ILC1up	TableS2
GRAMD3	ILC1up	TableS2
GZMA	ILC1up	TableS2
GZMB	ILC1up	TableS2
HOPX	ILC1up	TableS2
ICAM1	ILC1up	TableS2
IL12RB2	ILC1up	TableS2
IL21R	ILC1up	TableS2
ITGAX	ILC1up	TableS2
ITM2A	ILC1up	TableS2
KDM2B	ILC1up	TableS2
KLRA10	ILC1up	TableS2
KLRA3	ILC1up	TableS2
KLRA6	ILC1up	TableS2
KLRA9	ILC1up	TableS2
KLRB1A	ILC1up	TableS2
KLRC1	ILC1up	TableS2
KLRC2	ILC1up	TableS2
KLRD1	ILC1up	TableS2
KLRE1	ILC1up	TableS2
LRRC8D	ILC1up	TableS2
LYST	ILC1up	TableS2
MCTP2	ILC1up	TableS2
MMP9	ILC1up	TableS2
MS4A4B	ILC1up	TableS2
NCF1	ILC1up	TableS2
PADI2	ILC1up	TableS2
PIK3R5	ILC1up	TableS2
PLEK	ILC1up	TableS2
PMEPA1	ILC1up	TableS2
PRF1	ILC1up	TableS2
SAMD3	ILC1up	TableS2
SATB1	ILC1up	TableS2
SELL	ILC1up	TableS2
SEMA6D	ILC1up	TableS2
SH2D2A	ILC1up	TableS2
SULF2	ILC1up	TableS2
SULT2B1	ILC1up	TableS2
SYTL2	ILC1up	TableS2
TIGIT	ILC1up	TableS2
TRAT1	ILC1up	TableS2
UGCG	ILC1up	TableS2
ZDHHC15	ILC1up	TableS2
AB124611	ILC2up	TableS2
ACBD7	ILC2up	TableS2
ACER2	ILC2up	TableS2
ADAM19	ILC2up	TableS2
ALOX5	ILC2up	TableS2
APBB2	ILC2up	TableS2
AR	ILC2up	TableS2
AREG	ILC2up	TableS2
ARL5C	ILC2up	TableS2
ATP8A2	ILC2up	TableS2
BAMBI	ILC2up	TableS2
BMP2	ILC2up	TableS2
BMP7	ILC2up	TableS2
BZW2	ILC2up	TableS2
CACNA1D	ILC2up	TableS2
CALCA	ILC2up	TableS2
CAR13	ILC2up	TableS2
CCL1	ILC2up	TableS2
CCR4	ILC2up	TableS2
CCR8	ILC2up	TableS2
CD27	ILC2up	TableS2
CHD7	ILC2up	TableS2
CHDH	ILC2up	TableS2
CSF2	ILC2up	TableS2
CXCL2	ILC2up	TableS2
CYBB	ILC2up	TableS2
CYP2D22	ILC2up	TableS2
CYP51	ILC2up	TableS2
DGAT2	ILC2up	TableS2
DHX40	ILC2up	TableS2
DUSP10	ILC2up	TableS2
EBI3	ILC2up	TableS2
EEPD1	ILC2up	TableS2
EMP3	ILC2up	TableS2
FAM71F2	ILC2up	TableS2
FBXL21	ILC2up	TableS2
FOXP3	ILC2up	TableS2
GALNT3	ILC2up	TableS2
GATA3	ILC2up	TableS2
GLB1	ILC2up	TableS2
GRIN2D	ILC2up	TableS2
