GeneID	cellType	Source	ClusterID
CLEC9A	DC1	Villani_S1	DC1
C1ORF54	DC1	Villani_S1	DC1
HLA-DPA1	DC1	Villani_S1	DC1
CADM1	DC1	Villani_S1	DC1
CAMK2D	DC1	Villani_S1	DC1
CD1C	DC2	Villani_S1	DC2
FCER1A	DC2	Villani_S1	DC2
CLEC10A	DC2	Villani_S1	DC2
ADAM8	DC2	Villani_S1	DC2
CD1D	DC2	Villani_S1	DC2
S100A9	DC3	Villani_S1	DC3
S100A8	DC3	Villani_S1	DC3
VCAN	DC3	Villani_S1	DC3
LYZ	DC3	Villani_S1	DC3
ANXA1	DC3	Villani_S1	DC3
FCGR3A	DC4	Villani_S1	DC4
FTL	DC4	Villani_S1	DC4
SERPINA1	DC4	Villani_S1	DC4
LST1	DC4	Villani_S1	DC4
AIF1	DC4	Villani_S1	DC4
AXL	DC5	Villani_S1	DC5
PPP1R14A	DC5	Villani_S1	DC5
SIGLEC6	DC5	Villani_S1	DC5
CD22	DC5	Villani_S1	DC5
DAB2	DC5	Villani_S1	DC5
GZMB	DC6	Villani_S1	DC6
IGJ	DC6	Villani_S1	DC6
AK128525	DC6	Villani_S1	DC6
SERPINF1	DC6	Villani_S1	DC6
ITM2C	DC6	Villani_S1	DC6
CLEC9A	DC1	Villani_S2	DC1
C1ORF54	DC1	Villani_S2	DC1
HLA-DPA1	DC1	Villani_S2	DC1
CADM1	DC1	Villani_S2	DC1
CAMK2D	DC1	Villani_S2	DC1
CPVL	DC1	Villani_S2	DC1
HLA-DPB2	DC1	Villani_S2	DC1
WDFY4	DC1	Villani_S2	DC1
CPNE3	DC1	Villani_S2	DC1
IDO1	DC1	Villani_S2	DC1
HLA-DPB1	DC1	Villani_S2	DC1
LOC645638	DC1	Villani_S2	DC1
HLA-DOB	DC1	Villani_S2	DC1
HLA-DQB1	DC1	Villani_S2	DC1
HLA-DQB	DC1	Villani_S2	DC1
CLNK	DC1	Villani_S2	DC1
CSRP1	DC1	Villani_S2	DC1
SNX3	DC1	Villani_S2	DC1
ZNF366	DC1	Villani_S2	DC1
KIAA1598	DC1	Villani_S2	DC1
NDRG2	DC1	Villani_S2	DC1
ENPP1	DC1	Villani_S2	DC1
RGS10	DC1	Villani_S2	DC1
AX747832	DC1	Villani_S2	DC1
CYB5R3	DC1	Villani_S2	DC1
ID2	DC1	Villani_S2	DC1
XCR1	DC1	Villani_S2	DC1
FAM190A	DC1	Villani_S2	DC1
ASAP1	DC1	Villani_S2	DC1
SLAMF8	DC1	Villani_S2	DC1
CD59	DC1	Villani_S2	DC1
DHRS3	DC1	Villani_S2	DC1
GCET2	DC1	Villani_S2	DC1
FNBP1	DC1	Villani_S2	DC1
TMEM14A	DC1	Villani_S2	DC1
NET1	DC1	Villani_S2	DC1
BTLA	DC1	Villani_S2	DC1
BCL6	DC1	Villani_S2	DC1
FLT3	DC1	Villani_S2	DC1
ADAM28	DC1	Villani_S2	DC1
SLAMF7	DC1	Villani_S2	DC1
BATF3	DC1	Villani_S2	DC1
LGALS2	DC1	Villani_S2	DC1
VAC14	DC1	Villani_S2	DC1
PPA1	DC1	Villani_S2	DC1
APOL3	DC1	Villani_S2	DC1
C1ORF21	DC1	Villani_S2	DC1
CCND1	DC1	Villani_S2	DC1
ANPEP	DC1	Villani_S2	DC1
ELOVL5	DC1	Villani_S2	DC1
NCALD	DC1	Villani_S2	DC1
ACTN1	DC1	Villani_S2	DC1
PIK3CB	DC1	Villani_S2	DC1
HAVCR2	DC1	Villani_S2	DC1
GYPC	DC1	Villani_S2	DC1
TLR10	DC1	Villani_S2	DC1
ASB2	DC1	Villani_S2	DC1
KIF16B	DC1	Villani_S2	DC1
LRRC18	DC1	Villani_S2	DC1
DST	DC1	Villani_S2	DC1
DENND1B	DC1	Villani_S2	DC1
DNASE1L3	DC1	Villani_S2	DC1
SLC24A4	DC1	Villani_S2	DC1
VAV3	DC1	Villani_S2	DC1
THBD	DC1	Villani_S2	DC1
NAV1	DC1	Villani_S2	DC1
GSTM4	DC1	Villani_S2	DC1
TRERF1	DC1	Villani_S2	DC1
B3GNT7	DC1	Villani_S2	DC1
LACC1	DC1	Villani_S2	DC1
LMNA	DC1	Villani_S2	DC1
